cleaned_text,sentiment
"the equipment will expand container handling capacity at namibia 's main port of walvis bay , on the west coast .",positive
the expansion includes the doubling of the floor space and the addition of more lifting capacity and production equipment .,positive
the group aims to increase its net sales and comparable operating profit in 2006 .,positive
the order also includes start-up and commissioning services .,neutral
"the order consists of capacity expansion , maintenance services and new charging functionality , the company said .",neutral
the phones are targeted at first time users in growth markets .,neutral
"the repayment of eur 105 million debenture bonds is related to the company 's previous announcement on october 21 , 2009 to collect irrevocable selling commitments from the holders of its subordinated debenture bonds .",neutral
the revenues of the business reached nok 12 million for 2008 .,neutral
"the subscriptions increase cargotec 's share capital by 36,780 euros .",positive
"the subscriptions increase cargotec 's share capital by eur 27,060 .",positive
"the total area of the gorelovo plant is about 22,000 sq m. atria invested about euro 70mn in the plant , which should double atria russia 's production capacity in the st petersburg area .",positive
tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .,neutral
"tikkurila powder coatings has some 50 employees at its four paint plants , which generated revenues of eur2 .4 m usd3 .3 m in 2010 .",neutral
u.s. district judge douglas p. woodlock yesterday extended a jan. 17 temporary restraining order until march 7 .,neutral
"uk 's sarantel to outsource part of its processes to elcoteq plant in estonia london , oct 13 , bns - the british miniature antennas maker sarantel has signed an agreement to outsource its assembly test and supply chain processes to the plant of elcoteq in the estonian capital tallinn .",neutral
"under the rental agreement , stockmann was committed to invest in the building of a bridge over the gogol street or build an underground tunnel for crossing the street by 2004 .",neutral
we have made long-term investments in developing the system 's implementation model .,neutral
"with the launch of new 3g handsets , nokia aims to become the winner in china 's 3g market as it did in the 2g market .",positive
"with this subscription , fortum 's ownership in tgk-10 has increased to slightly over 76 % of shares and voting rights .",neutral
vnh generates annual net sales of about 5 mln eur and employs 21 people .,neutral
"earnings per share ( eps ) for the first quarter 2007 amounted to eur0 .07 , up from eur0 .04 .",positive
"jan. 6 -- ford is struggling in the face of slowing truck and suv sales and a surfeit of up-to-date , gotta-have cars .",negative
"rautakesko 's business operations in norway and russia , acquired in july 2005 , are included in the figures of the comparable period , impacting sales growth starting from august .",neutral
"operating profit was eur 11.07 mn , up from eur 8.65 mn .",positive
peer peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .,negative
pharmaceuticals group orion corp reported a fall in its third-quarter earnings that were hit by larger expenditures on r&d and marketing .,negative
"however , the growth margin slowed down due to the financial crisis .",negative
"significance : teleste has emphasised that with its large size and growing economy , as well as the rapid development of its tv services distribution industry , poland is viewed as an attractive market .",positive
"`` we reached agreement with the union that flights will continue as normal , '' finnair spokesman usko maatta said .",positive
"in finland , insurance company pohjola and the finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",positive
"helsinki ( afx ) - nokian tyres reported a fourth quarter pretax profit of 61.5 mln eur , up from 48.6 mln on the back of strong sales .",positive
"kalnapilio-tauro grupe ( kalnapilis-tauras group ) , which is owned by denmark 's royal unibrew , raised its market share to 25.18 percent from 23.74 percent , as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters .",positive
"kalnapilio-tauro grupe ( kalnapilis-tauras group ) , which is owned by denmark 's royal unibrew , raised its market share to 25.2 percent from 23.91 percent , as beer sales for the nine months jumped by 11.4 percent to 52.99 million liters .",positive
"marimekko has today ( 20 november ) signed a license agreement with the swedish chain , whereby marimekko will license some of its popular patterns from the 1950s , 1960s and 1970s to h&m .",positive
more staff has been recruited in japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive
nokian capacitors ' equipment will be used to raise the capacity and reliability of the indian grid .,positive
rautaruukki corporation stock exchange release 3 december 2009 at 12 noon ruukki 's construction and engineering divisions are to further improve and adjust their operations in finland .,positive
"ruukki romania , the local arm of finnish metal producer ruukki , increased its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on september 19 , 2006 .",positive
"stx finland oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for viking line to manage on between turku , finland , and stockholm , sweden withviking line abp .",positive
the company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive .,positive
"the tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .",positive
"uponor made an operating profit of eur 151.0 mn , up from eur 143.7 mn , which made 2007 a record year .",positive
"basware corporation stock exchange release august 31 , 2010 at 16:25 basware signed a large deal with an international industrial group basware will deliver invoice automation solution and connectivity services to an international industrial group .",positive
it estimates the operating profit to further improve from the third quarter .,positive
kazgiprotsvetmet and outotec finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in kazakhstan and the surrounding countries .,positive
lemcon signed an investment cooperation agreement with the kaluga regional administration last november .,positive
ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 .,positive
sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,positive
the growth of net sales has continued favourably in the middle east and africaand in asia pacific .,positive
"the new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from larox to etteplan .",positive
with this appointment kaupthing bank aims to further co-ordinate capital markets activities within the group and to improve the overall service to clients .,positive
"cencorp , headquartered in virkkala , finland , develops and supplies automation solutions to the electronics and semiconductor industry that enhance productivity .",neutral
"following the increase , huhtamaki oyj 's registered share capital is eur 358,706,290.00 and the number of shares outstanding is 105,501,850 .",neutral
"following this increase huhtamaki 's registered share capital is eur360 .62 m and the number of shares outstanding is 106,063,320 .",neutral
"the company has also supplied more than 200 mw of power generating equipment for a number of projects in papua new guinea , including 12 engines of the wartsila 32 type to lihir gold .",neutral
"under the agreement , pfizer has been funding biotie 's research activities on the pde10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds .",neutral
"when the omx market forwards mature on may 16 , 2008 , novator finland oy 's direct shareholding in amer sports corporation will exceed one-fifth 1-5 of the company 's shares and voting rights .",neutral
"to prove the efficiency of the china mobile system , rod baber , an english climber , climbed to the mount everest summit and successfully made calls .",positive
"`` these tests are part of a larger campaign which includes various customer trials and demonstrations to make lte on 800 mhz commercially viable by this summer , '' nokia siemens head of lte business line , reino tammela , said .",neutral
"finnish ahlstrom corporation will double its investments in a new specialty glassfiber reinforcement plant in south carolina , in the us .",positive
"helsinki on october 22 , 2008 ssh communications security corp board of directors for further information , please contact : tomi laamanen , chairman , tel. +358 0 400 609 544 distribution : nasdaq omx helsinki ltd. .",neutral
patrizia adds the acquisition to a portfolio already worth eur3bn .,neutral
sales rose to 300.9 mln eur compared with last year 's 276.1 mln eur and in line with 299 mln eur consensus figure .,positive
the contract was signed in august with papua new guinea-based lihir gold ltd asx : lgl .,positive
"the offer of some 30 million shares aimed to raise more than x20ac 500 million us$ 640 million , was expected to be completed by oct. 9 , outokumpu said .",neutral
"`` our extensive co-operation will also bolster sysopen digia 's position in the domestic operator market , '' kallioranta adds .",positive
"`` with this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",positive
"theodosopoulos said tellabs could be of value to nokia siemens or nortel given its `` leading supply status '' with verizon , along with high-growth products .",positive
"we succeeded in increasing our market share of sold apartment '' , comments mr kari kauniskangas , head of yit international construction services .",positive
"with capman as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says christopher wynne , ceo of papa john 's russia .",positive
"finnish suominen corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of eur 44.1 mn in the second quarter of 2010 , up from eur 43.3 mn in the second quarter of 2009 .",positive
"finnish telecoms software developer tecnomen oyj said on december 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of brasil telecom .",positive
increased trust of our clients in yit can be seen as apartment sales accelerated .,positive
"( adp news ) - dec 11 , 2008 - finnish construction and engineering company outotec oyj ( omx : ote1v ) said today it won a eur 28 million ( usd 36.8 m ) order to expand the phosphate concentrator in siilinjarvi of norwegian minera",positive
"mr priit kasak , balti metsamasina 's owner , said the rakvere-based company wishes to increase valmet 's market share from 27 % to a third in a couple of years .",positive
"ponsse plans to create a network that is based on strong partnership , and participates in the production of larger entities than presently .",neutral
the bank sees a potential for getinge share to rise .,positive
"the company recorded revenues of e658 .1 million during the fiscal year ended december 2007 , an increase of 23 % over 2006 .",positive
the cooperation will double the switch 's converter capacity .,positive
the robust growth was the result of the inclusion of clothing chain lindex in the group in december 2007 .,positive
"the six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive
"this truly takes efficiency to new heights , '' mr. metso adds .",positive
we hope to increase traffic volumes with the opening of freight one scandinavia . '',positive
"a january 11 , 2010 ephc board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .",positive
"finnish cargotec 's kalmar , the business area providing container handling solutions , has been awarded an order for a further ten e-one rubber-tyred gantry rtg cranes from saigon newport company snp , in vietnam .",positive
"bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",positive
"kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers .",positive
"london afx - shares in rautaruukki corp have been upgraded to ` hold ' from ` sell ' by abn amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",positive
london marketwatch -- nokia nok said it 's won a five-year services contract to run hutchison essar 's network operations in nine locations in india .,positive
"progress group , qpr 's representative in saudi arabia and north africa , has signed a framework agreement for a long term strategic relationship with ise .",positive
"ragutis , controlled by the finnish brewery olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",positive
"the 250 sq m 2,691 sq ft store in copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in nordic capitals .",positive
"the metal has gained 41 percent this year as demand from china , the world 's largest user , increased .",positive
"in addition , cramo and peab have signed exclusive five-year rental agreements in finland and have extended their existing rental agreements in the swedish market for another five years .",positive
"outotec oyj press release december 4 , 2009 10.30 am outotec establishes a new subsidiary in kolkata outotec has established a subsidiary in india in order to better serve its indian customers and to increase its business in the growing indian market .",positive
it is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive
"mobile phone shipments jumped 26 percent to almost 112 million units , while finnish company 's global market share rose to 39 percent from 36 percent .",positive
"on january 29 , 2009 the largest nordic bank nordea and finnish retail chain stockmann launched a regionally unique cooperation project : they are the first to introduce a common mastercard credit card enabling payments in different states and stores .",neutral
"qpr has an established international customer base , spread over 70 countries in 2009 , and a variety of organizations including banks , manufacturing companies , service companies and government authorities .",neutral
"selects third party logistics leader transplace for best-in-class technology , procurement capabilities ; leading specialty packaging manufacturer employs complete 3pl solution for supply chain visibility and transportation efficiency to increase service levels and on-time deliveries",positive
4g allows customers to use mobile broadband services with speeds up to ten times higher than with today 's 3g .,positive
"according to eijkens , a publisher can do much more than just publish colourful books : a publisher can provide value added to information by individualising it .",neutral
"based on strong customer interest and feedback , using rpm mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , tulonen continues .",positive
cameco is to provide an upfront investment of up to usd 60mn for the construction of the uranium extraction circuit .,neutral
"cdp was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",neutral
the original contract was signed last summer .,neutral
"` it is a testament to the quality of our lte solution and our commitment to the japanese market ' , he added .",neutral
`` ixonos has a rich heritage in developing leadership experiences in the smartphone segment .,positive
`` the acquisition of elektros pavara completes kone 's market expansion strategy in the baltic countries .,positive
18 january 2010 - finnish it consultancy trainers ' house oyj hel : trh1v said last friday it resolved to issue a eur5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,positive
"alexandria , va. , oct. 15 -- aaron moss of hampshire , great britain , has developed an ornamental design for a handset , the u.s. patent & trademark office announced .",neutral
hybrid bond 18 january 2010 - finnish it consultancy trainers ' house oyj hel : trh1v said last friday it resolved to issue a eur5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,neutral
"repair and maintenance business accounted for net sales of eur 645.3 mn , up from eur 563.6 mn .",positive
"the money will be spent `` on strengthening the company 's competitiveness in the sphere of sawmill products and increasing the volume of wood delivered for processing in russia , '' the release says .",positive
the new technology improves the glass quality and consistency while increasing throughput .,positive
"the reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .",neutral
"the vaisala group is a successful international technology company that develops , manufactures and markets electronic measurement systems and products .",positive
"the vuokatti unit will be developed to focus especially on the manufacture of prototypes , the ramp-up of new products and the demanding testing and after-sales services .",neutral
we look forward to helping the company develop its operational services and further digitalize its services for its customers . '',positive
"agj recorded eur 43 mln sales in 2006 , most of which was generated by exports to customers in western europe , the statement said .",neutral
"`` the number of collection errors fell considerably , and operations speeded up .",positive
"by combining its existing solutions into a single platform , comptel said that it has reduced the cost of deployment .",positive
"in the second quarter of 2010 , the group 's pretax loss narrowed to eur 400,000 from eur 600,000 .",positive
"26 january 2011 - finnish metal products company componenta oyj ( hel : cth1v ) said yesterday its net loss narrowed to eur500 ,000 in the last quarter of 2010 from eur5 .3 m for the same period a year earlier .",positive
8 may 2009 - finnish liquid handling products and diagnostic test systems maker biohit oyj ( hel : biobv ) said today ( 8 may 2009 ) its net loss narrowed to eur0 .1 m ( usd0 .14 m ) for the first quarter of 2009 from eur0 .4 m for the same period of 2008 .,positive
finnish fibers and plastic products maker suominen corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .,positive
"finnish metal products company componenta oyj ( hel : cth1v ) said today its net loss narrowed to eur 500,000 ( usd 680,000 ) in the last quarter of 2010 from eur 5.3 million for the same period a year earlier .",positive
finnish sports equipment maker amer sports oyj ( hel : ameas ) said today that its net loss narrowed to eur 16.9 million ( usd 22.3 m ) in the second quarter of 2010 from eur 23.2 million in the corresponding period a year earlier .,positive
"finnish steel maker rautaruukki oyj ( hel : rtrks ) , or ruukki , said today its net loss contracted to eur 49 million ( usd 68.2 m ) for the first nine months of 2010 from eur 229 million for the same period a year ago .",positive
"for the first nine months of 2010 , talvivaara 's net loss narrowed to eur 8.3 million from eur 21.9 million for the same period of 2009 .",positive
"in the first nine months of 2010 , the company 's net loss narrowed to eur 415,000 from eur 7.4 million for the corresponding period of 2009 .",positive
"in the first nine months of 2010 , the company 's net loss narrowed to eur415 ,000 from eur7 .4 m for the corresponding period of 2009 .",positive
"( adp news ) - feb 9 , 2009 - finnish computer services company proha oyj ( hel : art1v ) said today its net loss narrowed to eur 113,000 ( usd 146,000 ) for 2008 from eur 1.2 million for 2007 .",positive
the new factory working model and reorganisations would decrease nokian tyres ' costs in the factory by eur 30 million ( usd 38.7 m ) .,positive
20 october 2010 - finnish metal products company componenta oyj hel : cth1v said yesterday that its net loss narrowed to eur7m for the first nine months of 2010 from eur23 .3 m for the same period of 2009 .,positive
finnish fibers and plastic products maker suominen corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,positive
"in contrast , the company 's net loss for the third quarter of 2009 contracted to eur 76 million from eur 256 million for the corresponding period a year ago .",positive
"in the second quarter of 2010 , raute 's net loss narrowed to eur 123,000 from eur 1.5 million in the same period of 2009 .",positive
"adp news - nov 13 , 2008 - finnish printed circuit board pcb maker aspocomp group oyj omx : acg1v said today that its net loss narrowed to eur 2 million usd 2.5 m in the first nine months of 2008 from eur 57",positive
"metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .",positive
"narrows to eur2 .8 m 9-mo '09 29 october 2009 - finnish software and hardware developer elektrobit oyj hel : ebg1v , or eb , said today that its net loss narrowed to eur2 .8 m for the first nine months of 2009 from eur35 .6 m for the same period a year ago .",positive
the diluted loss per share narrowed to eur 0.27 from eur 0.86 .,positive
unit costs for flight operations fell by 6.4 percent .,positive
the loss for the third quarter of 2007 was eur 0.3 mn smaller than the loss of the second quarter of 2007 .,positive
airvana 's umts home base station femto cell uses software-based functionality and off-the-shelf silicon to accelerate feature development and reduce product cost .,positive
"according to sepp+ænen , the new technology umts900 solution network building costs are by one-third lower than that of the building of 3.5 g networks , operating at 2,100 mhz frequency .",positive
the costs of the new ropax vessels are 30 % lower than those of the present ones .,positive
the last job losses related to these reductions will take place during 2010 .,neutral
the program 's target is structural cost reductions of about eur 30mn in 2009 .,positive
"the third quarter result also includes a 400,000 euro ( $ 575,000 ) provision for down-sizing of lure manufacturing in ireland .",neutral
upm-kymmene is working closely with its shipping agents to reduce fuel consumption and greenhouse gas emissions .,positive
"2009 3 february 2010 - finland-based steel maker rautaruukki oyj ( hel : rtrks ) , or ruukki , said today it slipped to a larger-than-expected pretax loss of eur46m in the fourth quarter of 2009 from a year-earlier profit of eur45m .",negative
"( adpnews ) - feb 3 , 2010 - finland-based steel maker rautaruukki oyj ( hel : rtrks ) , or ruukki , said today it slipped to a larger-than-expected pretax loss of eur 46 million ( usd 64.5 m ) in the fourth quarter of 2009 from a",negative
"result before taxes decreased to nearly eur 14.5 mn , compared to nearly eur 20mn in the previous accounting period .",negative
the company slipped to an operating loss of eur 2.6 million from a profit of eur 1.3 million .,negative
23 april 2010 - finnish construction and engineering company outotec oyj hel : ote1v said today it slipped to a net loss of eur7 .3 m in the first quarter of 2010 from a net profit of eur12 .5 m in the corresponding period last year .,negative
cramo slipped to a pretax loss of eur 6.7 million from a pretax profit of eur 58.9 million .,negative
"finnish it solutions provider affecto oyj hel : afe1v said today its slipped to a net loss of eur 115,000 usd 152,000 in the second quarter of 2010 from a profit of eur 845,000 in the corresponding period a year earlier .",negative
"in 2009 , comptel slipped to a net loss of eur2 .1 m from a profit of eur6 .6 m in the previous year .",negative
"in q2 of 2009 , profit before taxes amounted to eur 13.6 mn , down from eur 26.8 mn in q2 of 2008 .",negative
"adpnews - feb 5 , 2010 - finnish real estate investor sponda oyj hel : sda1v said today that it slipped to a net loss of eur 81.5 million usd 11.8 m in 2009 from a profit of eur 29.3 million in 2008 .",negative
"adpnews - jul 17 , 2009 - finland-based steel maker rautaruukki oyj ruukki hel : rtrks said today it slipped to a net loss of eur 184 million usd 259.7 m for the first half of 2009 from a net profit of eur 2",negative
"profit before taxes amounted to eur 56.5 mn , down from eur 232.9 mn a year ago .",negative
"profit before taxes decreased by 9 % to eur 187.8 mn in the first nine months of 2008 , compared to eur 207.1 mn a year earlier .",negative
profit before taxes decreased to eur 31.6 mn from eur 50.0 mn the year before .,negative
"profit before taxes was eur 4.0 mn , down from eur 4.9 mn .",negative
"the company 's profit before taxes fell to eur 21.1 mn in the third quarter of 2008 , compared to eur 35.8 mn in the corresponding period in 2007 .",negative
"a state program has been worked out , legal provisions have been developed , and rules and normative documents have been specified for the functioning of a technological park .",neutral
"in august-october 2010 , the company 's result before taxes totalled eur 9.6 mn , up from eur 0.5 mn in the corresponding period in 2009 .",positive
finnish bore that is owned by the rettig family has grown recently through the acquisition of smaller shipping companies .,positive
the plan is estimated to generate some eur 5 million ( usd 6.5 m ) in cost savings on an annual basis .,positive
"finnish pharmaceuticals company orion reports profit before taxes of eur 70.0 mn in the third quarter of 2010 , up from eur 54.9 mn in the corresponding period in 2009 .",positive
"finnish sampo bank , of danish danske bank group , reports profit before taxes of eur 152.3 mn in 2010 , up from eur 32.7 mn in 2009 .",positive
"profit after taxes for the period was up to eur0 .9 m , from eur0 .01 m last year .",positive
"profit before taxes was eur 5.4 mn , up from eur 3.6 mn a year earlier .",positive
also construction expenses have gone up in russia .,negative
"neste oil said it will build a biodiesel production facility in rotterdam , the netherlands , at an estimated cost of 670 million euros , naming france-based technip as the project 's main contractor .",neutral
the european central bank ecb is anticipated to raise its benchmark interest rate in the second half of 2011 at the earliest .,neutral
11 august 2010 - finnish measuring equipment maker vaisala oyj hel : vaias said today that its net loss widened to eur4 .8 m in the first half of 2010 from eur2 .3 m in the corresponding period a year earlier .,negative
"finnish power supply solutions and systems provider efore oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending october 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",negative
"adp news - apr 22 , 2009 - finnish business information systems developer solteq oyj hel : stq1v said today its net loss widened to eur 189,000 usd 245,000 for the first quarter of 2009 from eur 10,000 for the same peri",negative
salonen added that data shows producers ' pulp inventories in north america are declining . ',negative
the elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( eur 32 mln ) for the fifth quarter running .,negative
"for the current year , raute expects its net sales to increase and the operating result -- to be positive .",positive
"turnover surged to eur61 .8 m from eur47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",positive
"as a result , the company currently anticipates net sales to increase and the operating result to be positive .",positive
"asimilar agreement was signed between china mobile ltd. ( sehk : 0941 and nyse : chl ) , the largest mobile carrier , and thegps and social networking service provider , promoting gypsii service before beijing 2008 olympic games , according to thelatest news .",positive
"`` upm 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' chief executive jussi pesonen said .",positive
"global sports equipment maker amer sports corp. , whose brands include atomic , salomon and wilson , saw a 64 percent increase in third-quarter net profit to euro 47.4 million $ 65 million on strong sales and cost cuts .",positive
"exports make up more than 80 per cent of our sales , so the name glaston also reflects a truly internationally operating company , '' explains kyro 's president & ceo mika seitovirta .",neutral
"westend ict plc s new 409,665,891 shares and increase of share capital with eur 2,000,000 based on the resolutions of extraordinary shareholders meeting on 27 december 2010 have today registered in the trade register .",neutral
"due to rapid expansion , the market share of tallink in terms of passenger carriage through tallinna sadam port of tallinn totaled 55 percent in november against 45.7 percent in november 2005 .",positive
"finnish industrial investor panostaja oyj omx helsinki : pnaas omx helsinki : pnabs said on friday 11 july that it has signed a deal to acquire the entire share capital of kospa oy , the manufacturer of waste disposal equipment .",positive
"stora enso r shares rose 1.20 pct to 11.84 eur , upm-kymmene was also dragged higher , rising 1.68 pct to 17.56 eur and m-real b added 2.38 pct to 4.30 eur .",positive
cash flow from operations for the most recent quarter also reached a eight year low .,negative
both loans will be used to finance strategic investments such as shopping center redevelopment projects and refinancing of maturing debt .,positive
"the stock price rose 70.0 ores or 0.9 % to close at sek77 .65 , ending a two-day streak of losses .",positive
"earnings per share ( eps ) amounted to eur0 .98 , up from the loss of eur0 .02 .",positive
"earnings per share ( eps ) were eur0 .03 , up from the loss of eur0 .083 .",positive
"operating profit totalled eur 0.4 mn , up from an operating loss of eur 0.8 mn year-on-year .",positive
"operating profit totalled eur 7.0 mn , up from a loss of eur 4.0 mn in the second quarter of 2009 .",positive
operating result including non-recurring items rose to eur 146mn from a loss of eur 267mn in 2009 .,positive
"tiimari , the finnish retailer , reported to have geenrated quarterly revenues totalling eur 1.3 mn in the 4th quarter 2009 , up from eur 0.3 mn loss in 2008 .",positive
"earnings per share eps amounted to eur0 .03 , up from the loss of eur0 .08 .",positive
"operating profit totalled eur 5.8 mn , up from a loss of eur 1.7 mn in the fourth quarter of 2009 .",positive
"operating profit was eur 0.6 mn , up from a loss of eur 19mn a year earlier .",positive
the investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,positive
"okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",positive
"shareholder 's full name and id code : - petri ailus , born 15.9.1966 for further information , please contact isto hantila , ceo , tel. +358 9 591 8342 .",neutral
"9 september 2010 - finnish stationery and gift retailer tiimari hel : tii1v said today its net sales rose by 2 % year-on-year to eur5 .7 m in august 2010 , driven by growth in finland , while demand in the baltics remained weak .",positive
"by 14:29 cet on monday , shares in bavarian nordic had climbed 1.21 % to dkk250 on the stock exchange in copenhagen after having lost 7.41 % in the past month .",positive
"for example , net sales increased by 5.9 % from the first quarter , and ebitda increased from a negative eur 0.2 mn in the first quarter of 2009 .",positive
"mobile phone sales rose 25 % to 5.87 billion euros , while enterprise solution sales dropped 39 % to 186 million euros .",positive
rising costs have forced packaging producer huhtamaki to axe 90 jobs at its hampshire manufacturing plant .,negative
"`` however , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",negative
"at this growth rate , paying off the national debt will be extremely painful .",negative
operating loss increased to eur 17mn from a loss of eur 10.8 mn in 2005 .,negative
"the payment of 2.779 million litas in interest on a long-term loan provided by ragutis ' majority shareholder , estonia 's a. le coq , also added to the losses .",negative
"at the moment , valio is not worried , but if the ban continues for long , it may become quite a problem .",negative
sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,positive
"cencorp estimates that its net sales in the last quarter will be as earlier stated , eur4 .3 m to eur5 .0 m , and operating profit (ebit)is estimated to be positive .",positive
`` our customer has been satisfied with basware invoice automation solution and extends the implementation to new geographies .,positive
repeats sees 2008 ebita above 18 pct of sales .,positive
` by separating side businesses we will be able to faster expand and develop tapro retail network .,positive
"` our strategic cooperation with rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said jarmo laasanen , a senior manager at cramo .",positive
"` patja has worked well for us for more than a decade , and fujitsu 's new bid was competitive .",neutral
"`` after the share purchase is completed , financing will also be provided to expand latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",positive
"`` in terms of profitability and earnings 2007 was the best year in our history , '' chief executive veli-matti mattila said .",positive
`` the government has had a very professional approach in assessing the offer .,positive
"`` the margarine business has been put into good shape in the last two years , making it a natural addition to bunge , which is looking to leverage its position in the central and northern european markets , '' raisio ceo matti rihko said in a statement .",positive
`` this is a win for all oems targeting to develop wimax products .,positive
"a portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with finnish phone maker nokia oyj .",positive
"finnish electronics manufacturing services company elcoteq signing a cooperation agreement with a japanese mobile phone manufacturer , bypasses elcoteq tallinn , says jan kotka , ceo of elcoteq tallinn .",positive
"according to a-rehu 's managing director , jouko lahtinen , the project will stabilise costs and improve supply security .",positive
"according to ceo matti karppinen , frozen foods posted a good result in 2010 , as it did in 2009 .",positive
"according to viking line 's managing director , nils-erik eklund , the company 's board of directors is very satisfied with viking line 's performance .",positive
actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around eur 4.5 million and will be effected mostly during the first half of 2010 .,positive
"at the same time , sales development in russia was boosted by the opening of stockmann nevsky centre in st petersburg .",positive
"benefon , a wireless and gps technology company , will supply karputer with its twig navigation platform , a gps satellite navigation and voice guidance service .",positive
"biohit and vwr have been in close cooperation for a number of years in the us , where biohit is one of vwr 's focus suppliers .",positive
combining this deep domain expertise with our application service management asm and outsourcing service offerings has now proved to be a winning combination .,positive
demand was brisk as expected and order levels have remained high .,positive
"during the past decade it has gradually divested noncore assets and bought several sports equipment makers , including california-based fitness products international and sparks , nevada-based atec , a leading maker of baseball and softball pitching machines .",positive
espoon kaupunki awarded contracts for personal care products .,positive
"exports accounted for 65.4 % of net sales , representing an all time record for the company .",positive
finland 's poyry energy has won a contract to advise builders of a new cogeneration power plant in lithuania 's second-biggest city of kaunas and to supervise the construction process .,positive
"finnish construction company yit oyj said on november 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company tapiola real estate oy .",positive
in 2005 cargotec 's net sales exceeded eur 2.3 billion .,neutral
"in 2006 , kone received an order from aker yards to supply 43 customised elevators for the very first genesis cruise ship which is scheduled to be completed in 2009 .",positive
"in addition to fireplace exports , demand for lining stone has exceeded the level of the earlier part of the year and will continue to be clearly brisker for the remainder of the year .",positive
kalmar has been awarded a new 5-year contract to supply its rough terrain container handler rtch .,positive
major order in india comptel corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in india .,positive
managing director kari inkinen says that sponda 's leasing operations developed highly favourably .,positive
net cash flow from operations is expected to remain positive .,positive
